Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
speech_disturbances_with_paralysis_weakness	medical_history_stroke		radio	24a. Speech disturbances?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
numbness_with_paralysis_weakness	medical_history_stroke		radio	24b. Numbness or tingling?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
side_affected_with_paralysis_weakness	medical_history_stroke		radio	24c. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_paralysis_or_weakness] = '0' and [numbness_with_paralysis_weakness] = '0'						
lightheadedness_with_paralysis_weakness	medical_history_stroke		radio	24d. Lightheadedness, dizziness, or loss of balance?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
blackouts_with_paralysis_weakness	medical_history_stroke		radio	24e. Blackouts or fainting?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
seizures_with_paralysis_weakness	medical_history_stroke		radio	24f. Seizures or convulsions?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
headache_with_paralysis_weakness	medical_history_stroke		radio	24g. Headache?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
pain_with_paralysis_weakness	medical_history_stroke		radio	24h. Pain in the weak arm, leg or face?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
visual_disturbances_with_paralysis_weakness	medical_history_stroke		radio	24i. Visual disturbances?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
visual_disturbances_description_paralysis_weakness	medical_history_stroke		radio	24j. Did you have	0, Double vision | 1, Vision loss in right eye only | 2, Vision loss in left eye only | 3, Total loss of vision in both eyes | 4, Trouble in both eyes seeing to the right | 5, Trouble in both eyes seeing to the left | 6, Trouble in both eyes seeing to both sides or straight ahead | 99, Other						[sudden_paralysis_or_weakness] = '0' and [visual_disturbances_with_paralysis_weakness] = '0'						
dizziness_loss_of_balance	medical_history_stroke		radio	25. Have you had any sudden spells of dizziness, loss of balance, or sensation of spinning which lasted 24 hours or longer?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[visual_disturbances_with_paralysis_weakness] = '1' or [sudden_paralysis_or_weakness] = '1' or [sudden_paralysis_or_weakness] = '2'						
dizziness_change_position_only	medical_history_stroke		radio	26. Did the dizziness, loss of balance or spinning sensation occur only when changing the position of your head or body?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[dizziness_loss_of_balance] = '0'						
px130301_q27	medical_history_stroke		descriptive	27. While you were having your episode of dizziness, loss of balance or spinning sensation, did any of the following occur?							[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
speech_disturbances_with_dizziness	medical_history_stroke		radio	27a. Speech disturbances?	1, Yes | 0, No						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
paralysis_weakness_with_dizziness	medical_history_stroke		radio	27b. Paralysis or weakness?	1, Yes | 0, No						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
affected_side_paralysis_with_dizziness	medical_history_stroke		radio	27c. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2' and [paralysis_weakness_with_dizziness] = '0'						
numbness_with_dizziness	medical_history_stroke		radio	27d. Numbness or tingling?	1, Yes | 0, No						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
affected_side_numbness_with_dizziness	medical_history_stroke		radio	27e. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2' and [numbness_with_dizziness] = '0'						
blackouts_with_dizziness	medical_history_stroke		radio	27f. Blackouts or fainting?	1, Yes | 0, No						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
seizures_with_dizziness	medical_history_stroke		radio	27g. Seizures or convulsions?	1, Yes | 0, No						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
headache_with_dizziness	medical_history_stroke		radio	27h. Headache?	1, Yes | 0, No						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
visual_disturbances_with_dizziness	medical_history_stroke		radio	27i. Visual disturbances?	1, Yes | 0, No						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2'						
visual_disturbances_description_with_dizziness	medical_history_stroke		radio	27j. Did you have	0, Double vision | 1, Vision loss in right eye only | 2, Vision loss in left eye only | 3, Total loss of vision in both eyes | 4, Trouble in both eyes seeing to the right | 5, Trouble in both eyes seeing to the left | 6, Trouble in both eyes seeing to both sides or straight ahead | 99, Other						[dizziness_loss_of_balance] = '0' and [dizziness_change_position_only] = '1' and [dizziness_change_position_only] = '2' and [visual_disturbances_with_dizziness] = '0'						
dizziness_occurred_suddenly	medical_history_stroke		radio	28. Did the episode of dizziness, loss of balance, or spinning sensation come on suddenly?	1, Yes | 0, No												
ever_have_peripheral_arterial_disease	medical_history_arterial_and_venous_disease	Peripheral Arterial Disease	radio	Did a doctor ever say that you had claudication or peripheral arterial disease (poor blood flow to the legs or blocked or narrowed arteries to the legs)? Do not include varicose veins or phlebitis.	1, Yes | 0, No	PX040901											
pad_angiography	medical_history_arterial_and_venous_disease		radio	For the above condition have you ever had...  Angiography (dye in the arteries of the legs)?	1, Yes | 0, No	PX040901					[ever_have_peripheral_arterial_disease] = '1'						
pad_angioplasty	medical_history_arterial_and_venous_disease		radio	For the above condition have you ever had...  Angioplasty (balloon catheter to open blockage)?	1, Yes | 0, No	PX040901					[ever_have_peripheral_arterial_disease] = '1'						
pad_surgery	medical_history_arterial_and_venous_disease		radio	For the above condition have you ever had...  Surgery to improve blood flow in your legs (do not include surgery for varicose veins)?	1, Yes | 0, No	PX040901					[ever_have_peripheral_arterial_disease] = '1'						
sphygmomanometer_0	medical_history_arterial_and_venous_disease		text	Blood pressure measurement, sphygmomanometer name and model.		PX040901											
cuff_size_arm	medical_history_arterial_and_venous_disease		radio	Blood pressure measurement, cuff size for arm.	S, S|M, M|L, L|XL, XL | -992, Not asked / Not collected	PX040901											
right_abi	medical_history_arterial_and_venous_disease		text	Right ABI = (the higher of the right posterior tibial SBP or the right dorsalis pedis SBP) / (the higher arm SBP)		PX040901	number										
left_abi	medical_history_arterial_and_venous_disease		text	LEFT ABI = (the higher of the left posterior tibial SBP or the left dorsalis pedis SBP) / (the higher arm SBP)		PX040901	number										
ever_have_abdominal_aortic_aneurysm	medical_history_arterial_and_venous_disease	Abdominal Aortic Aneurysm	radio	Have you ever been diagnosed by a doctor as having an abdominal aortic aneurysm?	1, Yes | 0, No	PX041001											
aaa_surgery	medical_history_arterial_and_venous_disease		radio	Have you had surgery or other repair for this aneurysm?	1, Yes | 0, No	PX041001					[ever_have_abdominal_aortic_aneurysm] = '0'						
ultrasound_machine	medical_history_arterial_and_venous_disease		text	Ultrasound machine name and model.		PX041001											
max_transverse_diameter	medical_history_arterial_and_venous_disease		text	Maximum transverse diameter (cm) of the aorta.		Centimeter | | PX041001											
max_anterior_posterior_diameter	medical_history_arterial_and_venous_disease		text	Maximum anterior-posterior diameter (cm) in the longitudinal plane.		Centimeter | | PX041001											
max_aortic_diameter	medical_history_arterial_and_venous_disease		text	Maximum aortic diameter (cm).		Centimeter | | PX041001											
ultrasound_image_id	medical_history_arterial_and_venous_disease		text	Ultrasound scan image ID.		PX041001											
ever_have_deep_venous_thrombosis	medical_history_arterial_and_venous_disease	Deep Venous Thrombosis	radio	Has a doctor ever told you that you had deep venous thrombosis or blood clots in your legs?	1 , Yes|0 , No | -997, Truly unknown	PX041201											
ever_been_treated	medical_history_arterial_and_venous_disease		radio	Have you ever been treated by a doctor or a nurse with shots at home or as an outpatient (usually followed by blood thinning medications such as Coumadin, Warfarin) for blood clots in the legs called deep vein thrombosis or DVT?	1 , Yes|0 , No	PX041201											
ever_have_outpatient_test	medical_history_arterial_and_venous_disease		radio	Have you ever had outpatient test(s) performed for blood clots in the legs called deep vein thrombosis or DVT?	1 , Yes|0 , No	PX041201											
dvt	medical_history_arterial_and_venous_disease		radio	Deep vein thrombosis (DVT)	1 , Yes|0 , No	PX041201											
dvt_diagnosis_date	medical_history_arterial_and_venous_disease		text	Date of Diagnosis (mm/dd/yyyy).		PX041201	date_dmy				[dvt] = '1'						
dvt_diagnosis	medical_history_arterial_and_venous_disease		radio	Diagnosis (Mark the one category that applies best.)	1, Deep vein thrombosis of lower extremities not resulting from a procedure within 60 days | 2, Deep vein thrombosis of lower extremities during or following a procedure within 60 days	PX041201					[dvt] = '1'						
dvt_diagnosis_based_on_isotope_scan_enum	medical_history_arterial_and_venous_disease		checkbox	Diagnosis of deep vein thrombosis is based on (Mark all that apply.)	1, Hospital discharge summary with a diagnosis of deep vein thrombosis | 2, Positive findings on a venogram | 3, Positive findings using impedance plethysmography | 4, Positive findings on doppler duplex, ultrasound, sonogram, or other non-invasive test examination | 5, Positive findings on isotope scan	PX041201					[dvt] = '1'						
dvt_diagnosis_reporting_source	medical_history_arterial_and_venous_disease		radio	Diagnosis of deep vein thrombosis reporting source: (Mark one. If more than one category applies, mark the first applicable category.)	1 , Hospital inpatient|2 , Hospital outpatient facility or clinic|3 , Radiology or imaging facility|4 , Physician's office/private medical practitioner|5 , Nursing/convalescent home/hospice|6 , Autopsy only|7 , Death Certificate only| 99 , Other	PX041201					[dvt] = '1'						
kidney_failure	medical_history_kidney_disease	Personal history of kidney failure	radio	Has a medical person ever told you that you had kidney failure?	1 , Yes|0 , No | -997, Truly unknown	PX0140601											
kidneys_working_now	medical_history_kidney_disease		radio	If YES to being told by a medical person that you have kidney failure, are one or both working well now?	1 , Yes|0 , No | -997, Truly unknown	PX0140601					[kidney_failure] = '1'						
kidney_failure_age	medical_history_kidney_disease		text	How old were you when you were first told by a medical person that you had kidney failure? Indicate the actual age.		PX0140601	number				[kidney_failure] = '1'						
dialysis	medical_history_kidney_disease		radio	Are you currently on renal dialysis?	1 , Yes|0 , No | -997, Truly unknown	PX0140601					[kidney_failure] = '1'						
kidney_transplant	medical_history_kidney_disease		radio	Have you ever had a kidney transplant?	1 , Yes|0 , No | -997, Truly unknown	PX0140601					[kidney_failure] = '1'						
seizure_or_convulsion	medical_history_epilepsy	Epilepsy screener (PhenX protocol PX130401 unless stated otherwise)	radio	Did anyone ever tell you that you had a seizure or convulsion caused by a high fever when you were a child?	1, Yes | 0, No | 2, Possible | -997, Truly unknown												
transfusion_lifetime	medical_history_transfusion	Transfusion History (PhenX protocol PX0830201 unless stated otherwise)	radio	Estimate the number of units (pints) of blood that you have ever received. (Select one).	0,none|1,1 to 10|2,11 to 20|3,21 to 50|4,more than 50| -997, Truly unknown												
transfusion_chronic_therapy	medical_history_transfusion		radio	Are you on chronic transfusion therapy at this time?	1, Yes | 0, No | -997, Truly unknown												
transfusion_iron_chelation	medical_history_transfusion		radio	Are you on iron chelation treatment?	1, Yes | 0, No | -997, Truly unknown												
pulse_rate	medical_history_blood_pressure		text	Pulse Rate		beats per minute	number										
ever_have_high_bp	medical_history_blood_pressure		radio	Has a doctor or nurse ever said that you have high blood pressure or hypertension? <a href="http://scdontology.h3abionet.org/ontology/SCDO_0000144">Blood pressure</a>	1, Yes | 0, No | -997, Truly unknown												
age_have_high_bp	medical_history_blood_pressure		text	At what age were you first told this?			number				[ever_have_high_bp] = '1'						
hbp_during_pregnancy_only	medical_history_blood_pressure		yesno	FOR WOMEN:  Was this during pregnancy only?							[ever_have_high_bp] = '1' and [gender]='2'						
ever_take_hbp_medication	medical_history_blood_pressure		radio	Have you ever taken medication for hypertension/high blood pressure?	1, Yes, now | 2, Yes, not now | 0, No | -997, Truly unknown												
age_take_hbp_medication	medical_history_blood_pressure		text	At what age did you begin taking medicine for this?			number				[ever_take_hbp_medication] = '1' or [ever_take_hbp_medication] = '2'						
age_take_hbp_medication_coded	medical_history_blood_pressure		checkbox	At what age did you begin taking medicine for this?	-997, Truly unknown						[ever_take_hbp_medication] = '1' or [ever_take_hbp_medication] = '2'						
sphygmomanometer	medical_history_blood_pressure		text	Blood pressure measurement, sphygmomanometer name and model.													
cuff_size	medical_history_blood_pressure		dropdown	Blood pressure measurement cuff size.	S, S|M, M|L, L|XL, XL | -992, Not asked / Not collected												
systolic_bp	medical_history_blood_pressure		text	Blood pressure Systolic			number										
diastolic_bp	medical_history_blood_pressure		text	Blood pressure Diastolic			number										
bp_measurement_date	medical_history_blood_pressure		text	Date of measurement of blood pressure.			date_dmy										
alc_lifetime	alcohol	Lifetime Alcohol Consumption	radio	In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips?	1, Yes | 0, No							y					
alc_intiationage	alcohol	Age of First Use	text	About how old were you when you first started drinking (not counting small tastes or sips of alcohol)?		Provide age in years.	integer	1	100		[alc_lifetime] = '1'	y					
alc_initage_un	alcohol		radio		-997, Truly unknown						[alc_lifetime] = '1'						
al5	alcohol	30-Day Quantity and Frequency	text	During the past 30 days, on how many days did you drink one or more drinks of an alcoholic beverage?		Enter "00" if you did not drink in the past 30 days.	integer				[alc_lifetime] = '1'						
al6	alcohol		radio		-997, Truly unknown						[alc_lifetime] = '1'						
al7	alcohol		text	On the days that you drank during the past 30 days, how many drinks did you usually have each day? (Count as a drink a can or bottle of beer; a wine cooler or a glass of wine, champagne, or sherry; a shot of liquor or a mixed drink or cocktail.)		Enter "00" if you did not drink in the past 30 days.	integer				[alc_lifetime] = '1' and [al5]<>"00"						
al8	alcohol		radio		-997, Truly unknown						[alc_lifetime] = '1' and [al5]<>"00"						
al9	alcohol	Maximum Drinks in a single Day	text	What was the LARGEST number of drinks that you ever drank in a single day?			integer				[alc_lifetime] = '1'						
al10	alcohol		radio		-997, Truly unknown												
cig100	smoking_status	Smoking Status	radio	Have you smoked at least 100 cigarettes in your entire life?	1, Yes | 0, No | -997, Truly unknown												
curr_smokstatus	smoking_status		radio	Do you now smoke cigarettes every day, some days, or not at all?	1, Every Day | 2, Some Days | 3, Not at All | -997, Truly unknown												
evey6mon	smoking_status		radio	Have you EVER smoked cigarettes EVERY DAY for at least 6 months?	1, Yes | 0, No | -997, Truly unknown												
agefisrtsmo	smoking_status	Age of Initiation of Cigarette Use	text	How old were you when you first started smoking cigarettes EVERY DAY?		Provide age in years	integer	5	100								
dntkw1	smoking_status		radio		-997, Truly unknown							y					
ageold	smoking_status		text	How old were you when you first started smoking cigarettes FAIRLY REGULARLY?		Provide age in years.	integer	5	100								
dnrknw2	smoking_status		radio		-997, Truly unknown												
evryday1	smoking_status	Every Day Smokers	text	On the average, about how many cigarettes do you now smoke each day?			integer	1	50								
evryday2	smoking_status		radio		-997, Truly unknown												
someday1	smoking_status	Some-Day Smokers	text	On how many of the past 30 days did you smoke cigarettes?			integer	0	30								
someday2	smoking_status		radio		-997, Truly unknown												
someday3	smoking_status		text	On the average, on the days you smoked, how many cigarettes did you usually smoke each day?		Provide number of cigarettes	integer	1	50								
someday4	smoking_status		radio		-997, Truly unknown												
former1	smoking_status	Former Smokers	radio	Have you EVER smoked cigarettes EVERY DAY for at least 6 months?	1, Yes | 0, No | -997, Truly unknown												
former2	smoking_status		text	When you last smoked every day, on average how many cigarettes did you smoke each day?		Provide number of cigarettes.	integer	1	50								
former3	smoking_status		radio		-997, Truly unknown												
former4	smoking_status		text	When you last smoked FAIRLY REGULARLY, on average how many cigarettes did you smoke each day?		Provide number of cigarettes.	integer	1	50								
former5	smoking_status		radio		-997, Truly unknown												
compstop	smoking_status	Age of Offset of Cigarette Use	text	About how long has it been since you COMPLETELY quit smoking cigarettes?		days	integer					y					
smokstop_units	smoking_status		radio	Length of time since quitting measured in:	1, Years | 2, Months | 3, Weeks | 4, Days | -997, Truly unknown												
cigars	smoking_status	Tobacco (non-cigarette) - Product Use	radio	Smoked at least 50 cigars?	1, Yes | 0, No | -997, Truly unknown | -996, Refused							y			tobacco_use		
pipe	smoking_status		radio	Smoked a pipe at least 50 times	1, Yes | 0, No | -997, Truly unknown | -996, Refused							y			tobacco_use		
snuff	smoking_status		radio	Used snuff, (such as Skoal, Skoal Bandit or Copenhagen) at least 20 times?	1, Yes | 0, No | -997, Truly unknown | -996, Refused							y			tobacco_use		
chewtobac	smoking_status		radio	Used chewing tobacco (such as Redman, Levi Garrett or Beechnut) at least 20 times?	1, Yes | 0, No | -997, Truly unknown | -996, Refused							y			tobacco_use		
cigarettesmoking_adolescent_ever	smoking_status		radio	Have you ever smoked a cigarette, even one or two puffs?	1, Yes | 0, No|-996, Refused | -997, Truly unknown	PX030603 | phenx_cigarette_smoking_status_adolescent											
cigarettesmoking_adolescent_last_time	smoking_status		radio	When was the last time you smoked a cigarette, even one or two puffs?	1,Earlier today|2,Not today but sometime in the past 7 days|3,Not in the past 7 days but sometime in the past 30 days|4,Not in the past 30 days but sometime in the past 6 months|5,Not in the past 6 months but sometime in the past year|6,1 to 4 years ago|7,5 or more years ago|-996, Refused | -997, Truly unknown|	PX030603 | phenx_cigarette_smoking_status_adolescent											
cigarettesmoking_adolescent_past_month	smoking_status		text	In the past 30 days, on how many days did you smoke cigarettes?		days | | PX030603 | phenx_cigarette_smoking_status_adolescent											
cigarettesmoking_adolescent_past_month_coded	smoking_status		radio	In the past 30 days, on how many days did you smoke cigarettes?	-996, Refused | -997, Truly unknown	PX030603 | phenx_cigarette_smoking_status_adolescent											
cigarettesmoking_adult_ever	smoking_status		radio	Have you ever smoked a cigarette, even one or two puffs?	1, Yes | 0, No|-996, Refused | -997, Truly unknown	PX030604 | phenx_cigarette_smoking_status_adult											
cigarettesmoking_adult_current_status	smoking_status		radio	Do you now smoke cigarettes	1,Every day|2,Some days|3,Not at all|-996, Refused | -997, Truly unknown	PX030604 | phenx_cigarette_smoking_status_adult											
cigarettesmoking_adult_total	smoking_status		radio	How many cigarettes have you smoked in your entire life? A pack usually has 20 cigarettes in it.	1,1 or more puffs but never a whole cigarette|2,1 to 10 cigarettes (about half pack total)|3,11 to 20 cigarettes (about half pack to 1 pack)|4,21 to 50 cigarettes (more than 1 pack but less than 3 packs)|5,51 to 99 cigarettes (more than 2.5 packs but less than 5 packs)|6,100 or more cigarettes (5 packs or more)|-996, Refused | -997, Truly unknown	PX030604 | phenx_cigarette_smoking_status_adult											
cigarettesmoking_adult_last_year	smoking_status		radio	Around this time 12 months ago, were you smoking cigarettes every day, some days, or not at all?	1,Every day|2,Some days|3,Not at all|-996, Refused | -997, Truly unknown	PX030604 | phenx_cigarette_smoking_status_adult											
sedatives	lifetime_drug_use	In the last 30 days have you ever used any of the following substances?	radio	Sedatives	1, Yes | 0, No | -997, Truly unknown							y			substances		
tranquilizers	lifetime_drug_use		radio	Tranquilizers	1, Yes | 0, No | -997, Truly unknown							y			substances		
painkillers	lifetime_drug_use		radio	Painkillers	1, Yes | 0, No | -997, Truly unknown							y			substances		
stimulants	lifetime_drug_use		radio	Stimulants	1, Yes | 0, No | -997, Truly unknown							y			substances		
marijuana	lifetime_drug_use		radio	Marijuana, hash, HC, or grass	1, Yes | 0, No | -997, Truly unknown							y			substances		
cocaine	lifetime_drug_use		radio	Cocoaine	1, Yes | 0, No | -997, Truly unknown							y			substances		
crack	lifetime_drug_use		radio	Crack cocaine	1, Yes | 0, No | -997, Truly unknown							y			substances		
hallucinogens	lifetime_drug_use		radio	Hallucinogens e.g. LSD	1, Yes | 0, No | -997, Truly unknown							y			substances		
inhalents	lifetime_drug_use		radio	Inhalents or solvents	1, Yes | 0, No | -997, Truly unknown							y			substances		
heroin	lifetime_drug_use		radio	Heroin	1, Yes | 0, No | -997, Truly unknown							y			substances		
methamphet	lifetime_drug_use		radio	Methamphetamines	1, Yes | 0, No | -997, Truly unknown							y			substances		
othersubs	lifetime_drug_use		radio	Any other non-prescribed medications / substances	1, Yes | 0, No | -997, Truly unknown							y			substances		
othersub_spec	lifetime_drug_use		text	Please specify the other substances you used in the past 30 days:							[othersubs] = '1'	y					
sed_age	lifetime_drug_use		text	Age you first used sedatives:		Please enter age in years.	integer				[sedatives] = '1'	y					
sed_age_un	lifetime_drug_use		radio		-997, Truly unknown						[sedatives] = '1'	y					
sed_days	lifetime_drug_use		text	In the past 30 days, how many days have you used sedatives?		Please enter number of days used.	integer	0	30		[sedatives] = '1'	y					
sed_days_un	lifetime_drug_use		radio		-997, Truly unknown						[sedatives] = '1'	y					
tranq_age	lifetime_drug_use		text	Age you first used tranquilizers:		Please enter age in years.	integer				[tranquilizers] = '1'	y					
tranq_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[tranquilizers] = '1'	y					
tranq_days	lifetime_drug_use		text	In the past 30 days, how many days have you used tranquilizers?		Please enter number of days used.	integer	0	30		[tranquilizers] = '1'	y					
tranq_days_un	lifetime_drug_use		radio		-997, Truly unknown						[tranquilizers] = '1'	y					
pain_age	lifetime_drug_use		text	Age you first used painkillers:		Please enter age in years.	integer				[painkillers] = '1'	y					
pain_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[painkillers] = '1'	y					
pain_days	lifetime_drug_use		text	In the past 30 days, how many days have you used painkillers?		Please enter number of days used.	integer	0	30		[painkillers] = '1'	y					
pain_days_un	lifetime_drug_use		radio		-997, Truly unknown						[painkillers] = '1'	y					
stim_age	lifetime_drug_use		text	Age you first used stimulants:		Please enter age in years.	integer				[stimulants] = '1'	y					
stim_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[stimulants] = '1'	y					
stim_days	lifetime_drug_use		text	In the past 30 days, how many days have you used stimulants?		Please enter number of days used.	integer	0	30		[stimulants] = '1'	y					
stim_days_un	lifetime_drug_use		radio		-997, Truly unknown						[stimulants] = '1'	y					
marijuana_age	lifetime_drug_use		text	Age you first used marijuana:		Please enter age in years.	integer				[marijuana] = '1'	y					
marijuana_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[marijuana] = '1'	y					
marijuana_days	lifetime_drug_use		text	In the past 30 days, how many days have you used marijuana?		Please enter number of days used.	integer	0	30		[marijuana] = '1'	y					
marijuana_days_un	lifetime_drug_use		radio		-997, Truly unknown						[marijuana] = '1'	y					
cocaine_age	lifetime_drug_use		text	Age you first used cocaine:		Please enter age in years.	integer				[cocaine] = '1'	y					
cocaine_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[cocaine] = '1'	y					
cocaine_days	lifetime_drug_use		text	In the past 30 days, how many days have you used cocaine?		Please enter number of days used.	integer	0	30		[cocaine] = '1'	y					
cocaine_days_un	lifetime_drug_use		radio		-997, Truly unknown						[cocaine] = '1'	y					
crack_age	lifetime_drug_use		text	Age you first used crack cocaine:		Please enter age in years.	integer				[crack] = '1'	y					
crack_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[crack] = '1'	y					
crack_days	lifetime_drug_use		text	In the past 30 days, how many days have you used crack cocaine?		Please enter number of days used.	integer	0	30		[crack] = '1'	y					
crack_days_un	lifetime_drug_use		radio		-997, Truly unknown						[crack] = '1'	y					
hallucin_age	lifetime_drug_use		text	Age you first used hallucinogens:		Please enter age in years.	integer				[hallucinogens] = '1'	y					
hallucin_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[hallucinogens] = '1'	y					
hallucin_days	lifetime_drug_use		text	In the past 30 days, how many days have you used hallucinogens?		Please enter number of days used.	integer	0	30		[hallucinogens] = '1'	y					
hallucin_days_un	lifetime_drug_use		radio		-997, Truly unknown						[hallucinogens] = '1'	y					
inhalents_age	lifetime_drug_use		text	Age you first used inhalents or solvents:		Please enter age in years.	integer				[inhalents] = '1'	y					
inhalents_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[inhalents] = '1'	y					
inhalents_days	lifetime_drug_use		text	In the past 30 days, how many days have you used inhalents or solvents?		Please enter number of days used.	integer	0	30		[inhalents] = '1'	y					
inhalents_days_un	lifetime_drug_use		radio		-997, Truly unknown						[inhalents] = '1'	y					
heroin_age	lifetime_drug_use		text	Age you first used heroin:		Please enter age in years.	integer				[heroin] = '1'	y					
heroin_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[heroin] = '1'	y					
heroin_days	lifetime_drug_use		text	In the past 30 days, how many days have you used heroin?		Please enter number of days used.	integer	0	30		[heroin] = '1'	y					
heroin_days_un	lifetime_drug_use		radio		-997, Truly unknown						[heroin] = '1'	y					
methamphet_age	lifetime_drug_use		text	Age you first used methamphetamines:		Please enter age in years.	integer				[methamphet] = '1'	y					
methamphet_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[methamphet] = '1'	y					
methamphet_days	lifetime_drug_use		text	In the past 30 days, how many days have you used methamphetamines?		Please enter number of days used.	integer	0	30		[methamphet] = '1'	y					
methamphet_days_un	lifetime_drug_use		radio		-997, Truly unknown						[methamphet] = '1'	y					
other_age	lifetime_drug_use		text	Age you first used other non-prescribed medications or substances:		Please enter age in years.	integer				[othersubs] = '1'	y					
othersub_age_un	lifetime_drug_use		radio		-997, Truly unknown	Please enter age in years.					[othersubs] = '1'	y					
othersub_days	lifetime_drug_use		text	In the past 30 days, how many days have you used other non-prescribed medications?		Please enter number of days used.	integer	0	30		[othersubs] = '1'	y					
othersub_days_un	lifetime_drug_use		radio		-997, Truly unknown						[othersubs] = '1'	y					
flashcard_22_510402	lifetime_drug_use	Substance abuse and dependence past year (Drugs)	descriptive	Flashcard 22 TYPES OF MEDICINES/DRUGS 1. Sedatives, for example, sleeping pills, barbiturates, Seconal, quaaludes, or chloral hydrate 2. Tranquilizers or anti-anxiety drugs, for example, Valium, Librium, muscle relaxants, or Xanax 3. Painkillers, for example, codeine, Darvon, Percodan, Dilaudid, or Demerol 4. Stimulants, for example, Preludin, Benzedrine, Methadrine, uppers, or speed 5. Marijuana, hash, THC, or grass 6. Cocaine or crack 7. Hallucinogens, for example, Ecstasy, LSD, mescaline, psilocybin, PCP, angel dust, or peyote 8. Inhalants or solvents, for example, amyl nitrate, nitrous oxide, glue, toluene, or gasoline 9. Heroin 10.Any OTHER medicines, drugs, or substances, for example, heroin, methadone, Elavil, steroids, Thorazine, or Haldol		PX0510402											
sedatives2	lifetime_drug_use		radio	1. Sedatives	1, Yes | 0, No	PX0510402											
sedatives_last12months	lifetime_drug_use		radio	1a. Did you use (Sedatives) in the last 12 months only, before the last 12 months only, or during both time periods?	1, Last 12 months only | 2, Prior to last 12 months only | 3, Both time periods	PX0510402											
tranquilizers2	lifetime_drug_use		radio	2. Tranquilizers	1, Yes | 0, No	PX0510402											
tranquilizers_last12months	lifetime_drug_use		radio	Did you use (Tranquilizers) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
painkillers2	lifetime_drug_use		radio	3. Painkillers	1, Yes | 0, No	PX0510402											
painkillers_last12months	lifetime_drug_use		radio	Did you use (Painkillers) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
stimulants2	lifetime_drug_use		radio	4. Stimulants	1, Yes | 0, No	PX0510402											
